Id,Neighborhood,Date,Price,NetArea,GrossArea,NumberOfRoom,AgeOfBuilding,LocatedFloor,TotalFloor,Bathroom,Balcony,Furniture,RentIncome
687803059,Goztepe ,25.05.2019,720.00,90.00,125.00,4.00,2.00,5.00,8.00,1.00,0.00,0.00,0.00
692068255,Goztepe ,11.05.2019,725.00,72.00,95.00,3.00,0.00,8.00,9.00,1.00,0.00,0.00,0.00
691583974,Goztepe ,9.05.2019,725.00,72.00,95.00,3.00,0.00,8.00,9.00,1.00,0.00,0.00,0.00
677047239,Goztepe ,26.05.2019,725.00,80.00,110.00,4.00,0.00,11.00,14.00,1.00,0.00,0.00,0.00
692136508,Fenerbahce ,11.05.2019,725.00,73.00,80.00,3.00,1.00,0.00,13.00,1.00,1.00,0.00,0.00
669451692,Egitim ,21.05.2019,725.00,95.00,110.00,4.00,0.00,4.00,10.00,1.00,1.00,0.00,0.00
687052211,Goztepe ,27.05.2019,725.00,84.00,115.00,3.00,0.00,6.00,11.00,2.00,1.00,0.00,0.00
410170047,Fenerbahce ,10.05.2018,725.00,80.00,95.00,3.00,1.00,0.00,14.00,1.00,1.00,0.00,0.00
693756612,Goztepe ,18.05.2019,730.00,75.00,100.00,3.00,0.00,11.00,15.00,1.00,0.00,0.00,0.00
682101095,Goztepe ,20.05.2019,730.00,75.00,90.00,3.00,0.00,10.00,15.00,2.00,1.00,0.00,0.00
693746383,Goztepe ,18.05.2019,730.00,72.00,90.00,3.00,0.00,10.00,14.00,1.00,0.00,0.00,0.00
694220094,Goztepe ,20.05.2019,730.00,74.00,90.00,3.00,0.00,10.00,14.00,2.00,0.00,0.00,0.00
693067405,Feneryolu ,15.05.2019,730.00,75.00,90.00,3.00,0.00,6.00,7.00,1.00,0.00,0.00,0.00
696410239,Goztepe ,29.05.2019,730.00,82.00,100.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
638760691,Feneryolu ,24.05.2019,730.00,75.00,100.00,3.00,0.00,3.00,10.00,1.00,0.00,0.00,0.00
676805376,Goztepe ,25.05.2019,735.00,85.00,100.00,3.00,0.00,9.00,11.00,2.00,0.00,0.00,1.00
662398263,Goztepe ,25.05.2019,735.00,70.00,100.00,2.00,0.00,0.00,20.00,1.00,1.00,0.00,0.00
650213974,Fenerbahce ,22.05.2019,735.00,90.00,110.00,4.00,30.00,3.00,3.00,1.00,1.00,0.00,0.00
692682165,Fenerbahce ,14.05.2019,735.00,90.00,100.00,4.00,18.00,1.00,4.00,1.00,1.00,0.00,0.00
621236725,Goztepe ,9.05.2019,735.00,85.00,115.00,4.00,0.00,1.00,8.00,2.00,0.00,0.00,0.00
683590941,Fenerbahce ,13.05.2019,735.00,95.00,120.00,4.00,18.00,1.00,3.00,2.00,1.00,0.00,0.00
679458264,Goztepe ,2.05.2019,735.00,110.00,125.00,4.00,4.00,2.00,7.00,2.00,1.00,0.00,0.00
662042647,Goztepe ,17.02.2019,740.00,65.00,91.00,3.00,0.00,6.00,10.00,1.00,0.00,0.00,0.00
692532445,Goztepe ,13.05.2019,740.00,70.00,90.00,3.00,0.00,6.00,7.00,1.00,0.00,0.00,0.00
668503610,Egitim ,8.05.2019,742.00,90.00,125.00,4.00,0.00,8.00,12.00,2.00,0.00,0.00,0.00
646268194,Feneryolu ,12.05.2019,745.00,85.00,115.00,4.00,2.00,1.00,9.00,1.00,0.00,0.00,1.00
